2026/02/12 11:42:54 [error] 261#261: *8 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 172.17.0.1, server: _, request: "GET /api/system/db-changed-time HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/products?include_disabled=true"
2026/02/12 11:43:50 [error] 261#261: *8 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "DELETE /api/objects/products/134 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/products?include_disabled=true"
2026/02/12 11:46:02 [error] 256#256: *398 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /app/www/packages/morris/lessql/src/LessQL/Result.php on line 152" while reading response header from upstream, client: 172.17.0.1, server: _, request: "GET /api/objects/quantity_unit_conversions_resolved HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "78.203.181.71:9283"
2026/02/12 12:06:46 [error] 259#259: *480 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "POST /api/objects/products HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/product/new"
2026/02/12 12:07:43 [error] 259#259: *480 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "POST /api/objects/products HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/product/new"
2026/02/12 12:12:47 [error] 259#259: *480 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "PUT /api/objects/products/250 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/product/250?returnto=%2Fstockoverview"
2026/02/12 12:13:36 [error] 259#259: *480 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "PUT /api/objects/products/250 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/product/250?returnto=%2Fstockoverview"
2026/02/12 12:16:48 [error] 260#260: *639 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "PUT /api/objects/products/74 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "192.168.0.56:9283", referrer: "http://192.168.0.56:9283/product/74?returnto=%2Fproducts"
2026/02/12 12:34:51 [error] 261#261: *13 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "POST /api/objects/products HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:9283", referrer: "http://localhost:9283/product/new"
2026/02/12 12:38:21 [error] 261#261: *13 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.17.0.1, server: _, request: "POST /api/objects/products HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:9283", referrer: "http://localhost:9283/product/new"
